学号,薪资大小,地区水平A,地区水平B,地区水平C,地区水平D,地区水平E,地区水平F,相对高,相对中,相对低
112176,0,0,0,0,0,0,0,0,0,0
168312,0,0,0,0,0,0,0,0,0,0
242266,0,0,0,0,0,0,0,0,0,0
261102,0.256341789,0,1,0,0,0,0,0,0,1
323861,0.735202492,1,0,0,0,0,0,0,1,0
393628,0.735202492,1,0,0,0,0,0,0,1,0
662122,0.735202492,1,0,0,0,0,0,0,1,0
941186,0,0,0,0,0,0,0,0,0,0
964441,0.498442367,1,0,0,0,0,0,0,1,0
971239,0,0,0,0,0,0,0,0,0,0
989224,0,0,0,0,0,0,0,0,0,0
1013912,0,0,0,0,0,0,0,0,0,0
1013999,0.666666667,1,0,0,0,0,0,0,1,0
1034979,0,0,0,0,0,0,0,0,0,0
1188609,0,0,0,0,0,0,0,0,0,0
1249922,0,0,0,0,0,0,0,0,0,0
1264139,0,0,0,0,0,0,0,0,0,0
1279916,0.256341789,1,0,0,0,0,0,0,0,1
1320292,0.174454829,1,0,0,0,0,0,0,0,1
1321173,0,0,0,0,0,0,0,0,0,0
1321270,0,0,0,0,0,0,0,0,0,0
1324809,0.86728972,1,0,0,0,0,0,1,0,0
1329126,0.386292835,1,0,0,0,0,0,0,1,0
1332346,0,0,0,0,0,0,0,0,0,0
1370129,0,0,0,0,0,0,0,0,0,0
1394087,0,0,0,0,0,0,0,0,0,0
1399922,0.523364486,1,0,0,0,0,0,0,1,0
1422199,0,0,0,0,0,0,0,0,0,0
1423299,0,0,0,0,0,0,0,0,0,0
1619093,0,0,0,0,0,0,0,0,0,0
1639181,0,0,0,0,0,0,0,0,0,0
1641236,0.822429907,1,0,0,0,0,0,1,0,0
1696881,0.386292835,0,0,1,0,0,0,0,1,0
1821126,0.256341789,1,0,0,0,0,0,0,0,1
1832672,0,0,0,0,0,0,0,0,0,0
1860322,0.174454829,0,0,1,0,0,0,0,0,1
1869639,0,0,0,0,0,0,0,0,0,0
1892981,0.256341789,0,0,1,0,0,0,0,0,1
1894992,0,0,0,0,0,0,0,0,0,0
1918224,0,0,0,0,0,0,0,0,0,0
1919297,0,0,0,0,0,0,0,0,0,0
1921220,0,0,0,0,0,0,0,0,0,0
1922291,0,0,0,0,0,0,0,0,0,0
1924078,0,0,0,0,0,0,0,0,0,0
1926134,0,0,0,0,0,0,0,0,0,0
1932967,0,0,0,0,0,0,0,0,0,0
1968045,0,0,0,0,0,0,0,0,0,0
1977923,0.174454829,0,0,0,0,1,0,0,0,1
1989486,0,0,0,0,0,0,0,0,0,0
2022736,0.323987539,1,0,0,0,0,0,0,1,0
2092193,0,0,0,0,0,0,0,0,0,0
2117899,0.256341789,0,1,0,0,0,0,0,0,1
2120391,0.831775701,1,0,0,0,0,0,1,0,0
2132119,0.598130841,1,0,0,0,0,0,0,1,0
2137271,0.598130841,1,0,0,0,0,0,0,1,0
2163133,0,0,0,0,0,0,0,0,0,0
2172883,0,0,0,0,0,0,0,0,0,0
2193410,0.598130841,1,0,0,0,0,0,0,1,0
2212491,0,0,0,0,0,0,0,0,0,0
2222811,0.256341789,1,0,0,0,0,0,0,0,1
2223932,0,0,0,0,0,0,0,0,0,0
2237922,0,0,0,0,0,0,0,0,0,0
2239320,0,0,0,0,0,0,0,0,0,0
2281224,0.635514019,1,0,0,0,0,0,0,1,0
2282329,0,0,0,0,0,0,0,0,0,0
2304833,0.386292835,1,0,0,0,0,0,0,1,0
2321844,0.386292835,1,0,0,0,0,0,0,1,0
2332306,0.386292835,1,0,0,0,0,0,0,1,0
2333228,0,0,0,0,0,0,0,0,0,0
2363218,0.620560748,1,0,0,0,0,0,0,1,0
2382674,0,0,0,0,0,0,0,0,0,0
2418492,0,0,0,0,0,0,0,0,0,0
2429839,0.256341789,0,0,1,0,0,0,0,0,1
2434088,0,0,0,0,0,0,0,0,0,0
2437992,0,0,0,0,0,0,0,0,0,0
2469253,0.386292835,1,0,0,0,0,0,0,1,0
2482161,0.743509865,1,0,0,0,0,0,0,1,0
2487187,0,0,0,0,0,0,0,0,0,0
2623391,0,0,0,0,0,0,0,0,0,0
2642129,0.323987539,1,0,0,0,0,0,0,1,0
2671994,0,0,0,0,0,0,0,0,0,0
2673202,0.256341789,1,0,0,0,0,0,0,0,1
2687395,0,0,0,0,0,0,0,0,0,0
2693461,0,0,0,0,0,0,0,0,0,0
2742718,0.386292835,1,0,0,0,0,0,0,1,0
2798289,0.498442367,0,1,0,0,0,0,0,1,0
2812131,0,0,0,0,0,0,0,0,0,0
2838288,0,0,0,0,0,0,0,0,0,0
2863126,0,0,0,0,0,0,0,0,0,0
2864496,0,0,0,0,0,0,0,0,0,0
2911292,0,0,0,0,0,0,0,0,0,0
2921723,0,0,0,0,0,0,0,0,0,0
2926624,0.234979973,1,0,0,0,0,0,0,0,1
2929162,0,0,0,0,0,0,0,0,0,0
2938630,0,0,0,0,0,0,0,0,0,0
2954320,0,0,0,0,0,0,0,0,0,0
2963126,0,0,0,0,0,0,0,0,0,0
2981712,0.323987539,0,0,0,0,1,0,0,1,0
2992189,0,0,0,0,0,0,0,0,0,0
2998119,0,0,0,0,0,0,0,0,0,0
3022911,0.831775701,1,0,0,0,0,0,1,0,0
3122212,0.666666667,1,0,0,0,0,0,0,1,0
3122223,0,0,0,0,0,0,0,0,0,0
3189724,0,0,0,0,0,0,0,0,0,0
