stu_id, eventA, eventB, eventC, eventD, eventE, eventF
59692677, 0.210000, 0.010000, 0.000000, 0.000000, 0.000000, 0.000000
26869329, 0.000000, 0.170000, 0.000000, 0.000000, 0.000000, 0.000000
98143248, 0.000000, 0.010000, 0.070000, 0.000000, 0.000000, 0.000000
32419192, 0.000000, 0.020000, 0.070000, 0.000000, 0.000000, 0.020000
79021999, 0.130000, 0.030000, 1.000000, 0.810000, 0.000000, 0.000000
89876069, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
91967339, 0.000000, 0.470000, 0.000000, 0.000000, 0.050000, 0.060000
43624422, 0.020000, 0.010000, 0.230000, 0.170000, 0.050000, 0.000000
87102840, 0.290000, 0.120000, 0.000000, 0.000000, 0.000000, 0.000000
41690327, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
69326219, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
49190683, 0.050000, 0.010000, 0.020000, 0.000000, 0.000000, 0.040000
3022911, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
91929771, 0.720000, 0.200000, 0.320000, 0.130000, 0.800000, 0.650000
12683499, 0.050000, 0.050000, 0.000000, 0.000000, 0.190000, 0.080000
98205217, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
99279221, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
17630337, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
16149242, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.020000
21407996, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
18383820, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
63222660, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
12272898, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
37264260, 0.020000, 0.010000, 0.000000, 0.000000, 0.000000, 0.000000
22032194, 0.000000, 0.000000, 0.020000, 0.000000, 0.000000, 0.000000
28698044, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
96583396, 0.000000, 0.020000, 0.050000, 0.010000, 0.000000, 0.000000
71781999, 0.000000, 0.120000, 0.070000, 0.660000, 0.020000, 0.200000
98791619, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
40888439, 0.000000, 0.000000, 0.020000, 0.070000, 0.000000, 0.000000
17119287, 0.020000, 0.010000, 0.000000, 0.000000, 0.000000, 0.000000
97947983, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
69181222, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
70286630, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
79229711, 0.180000, 0.020000, 0.000000, 0.000000, 0.000000, 0.000000
19006142, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
26602406, 0.050000, 0.040000, 0.000000, 0.000000, 0.000000, 0.000000
21864360, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
38111919, 0.020000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
92317289, 0.000000, 0.020000, 0.000000, 0.000000, 0.000000, 0.000000
66933598, 0.000000, 0.070000, 0.000000, 0.000000, 0.000000, 0.040000
37032779, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
12994599, 0.000000, 0.020000, 0.000000, 0.000000, 0.000000, 0.000000
1321270, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
43939238, 0.190000, 0.130000, 0.000000, 0.030000, 0.000000, 0.000000
42922312, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.040000
23191033, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
41910912, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
22292427, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
82946273, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
46334211, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
99473166, 0.000000, 0.000000, 0.000000, 0.000000, 0.050000, 0.020000
86222192, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
8213811, 0.000000, 0.000000, 0.000000, 0.010000, 0.000000, 0.000000
46916777, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
32330861, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
